competition,season,country,team,matchday,snapshot_date,position,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
LaLiga,2023/2024,Spain,Alaves,1,2023-08-11T19:59:00+00:00,1,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Almeria,1,2023-08-11T19:59:00+00:00,2,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Ath Bilbao,1,2023-08-11T19:59:00+00:00,3,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Ath Madrid,1,2023-08-11T19:59:00+00:00,4,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Barcelona,1,2023-08-11T19:59:00+00:00,5,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Betis,1,2023-08-11T19:59:00+00:00,6,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Cadiz,1,2023-08-11T19:59:00+00:00,7,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Celta,1,2023-08-11T19:59:00+00:00,8,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Getafe,1,2023-08-11T19:59:00+00:00,9,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Girona,1,2023-08-11T19:59:00+00:00,10,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Granada,1,2023-08-11T19:59:00+00:00,11,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Las Palmas,1,2023-08-11T19:59:00+00:00,12,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Mallorca,1,2023-08-11T19:59:00+00:00,13,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Osasuna,1,2023-08-11T19:59:00+00:00,14,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Real Madrid,1,2023-08-11T19:59:00+00:00,15,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Sevilla,1,2023-08-11T19:59:00+00:00,16,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Sociedad,1,2023-08-11T19:59:00+00:00,17,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Valencia,1,2023-08-11T19:59:00+00:00,18,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Vallecano,1,2023-08-11T19:59:00+00:00,19,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Villarreal,1,2023-08-11T19:59:00+00:00,20,0,0,0,0,0,0,0,0
LaLiga,2023/2024,Spain,Ath Madrid,2,2023-08-18T19:59:00+00:00,1,1,1,0,0,3,1,2,3
LaLiga,2023/2024,Spain,Osasuna,2,2023-08-18T19:59:00+00:00,2,1,1,0,0,2,0,2,3
LaLiga,2023/2024,Spain,Real Madrid,2,2023-08-18T19:59:00+00:00,3,1,1,0,0,2,0,2,3
LaLiga,2023/2024,Spain,Vallecano,2,2023-08-18T19:59:00+00:00,4,1,1,0,0,2,0,2,3
LaLiga,2023/2024,Spain,Betis,2,2023-08-18T19:59:00+00:00,5,1,1,0,0,2,1,1,3
LaLiga,2023/2024,Spain,Valencia,2,2023-08-18T19:59:00+00:00,6,1,1,0,0,2,1,1,3
LaLiga,2023/2024,Spain,Cadiz,2,2023-08-18T19:59:00+00:00,7,1,1,0,0,1,0,1,3
LaLiga,2023/2024,Spain,Girona,2,2023-08-18T19:59:00+00:00,8,1,0,1,0,1,1,0,1
LaLiga,2023/2024,Spain,Las Palmas,2,2023-08-18T19:59:00+00:00,9,1,0,1,0,1,1,0,1
LaLiga,2023/2024,Spain,Mallorca,2,2023-08-18T19:59:00+00:00,10,1,0,1,0,1,1,0,1
LaLiga,2023/2024,Spain,Sociedad,2,2023-08-18T19:59:00+00:00,11,1,0,1,0,1,1,0,1
LaLiga,2023/2024,Spain,Barcelona,2,2023-08-18T19:59:00+00:00,12,1,0,1,0,0,0,0,1
LaLiga,2023/2024,Spain,Getafe,2,2023-08-18T19:59:00+00:00,13,1,0,1,0,0,0,0,1
LaLiga,2023/2024,Spain,Sevilla,2,2023-08-18T19:59:00+00:00,14,1,0,0,1,1,2,-1,0
LaLiga,2023/2024,Spain,Villarreal,2,2023-08-18T19:59:00+00:00,15,1,0,0,1,1,2,-1,0
LaLiga,2023/2024,Spain,Alaves,2,2023-08-18T19:59:00+00:00,16,1,0,0,1,0,1,-1,0
LaLiga,2023/2024,Spain,Granada,2,2023-08-18T19:59:00+00:00,17,1,0,0,1,1,3,-2,0
LaLiga,2023/2024,Spain,Almeria,2,2023-08-18T19:59:00+00:00,18,1,0,0,1,0,2,-2,0
LaLiga,2023/2024,Spain,Ath Bilbao,2,2023-08-18T19:59:00+00:00,19,1,0,0,1,0,2,-2,0
LaLiga,2023/2024,Spain,Celta,2,2023-08-18T19:59:00+00:00,20,1,0,0,1,0,2,-2,0
LaLiga,2023/2024,Spain,Real Madrid,3,2023-08-25T19:59:00+00:00,1,2,2,0,0,5,1,4,6
LaLiga,2023/2024,Spain,Vallecano,3,2023-08-25T19:59:00+00:00,2,2,2,0,0,4,0,4,6
LaLiga,2023/2024,Spain,Valencia,3,2023-08-25T19:59:00+00:00,3,2,2,0,0,3,1,2,6
LaLiga,2023/2024,Spain,Girona,3,2023-08-25T19:59:00+00:00,4,2,1,1,0,4,1,3,4
