"competition","season","country","competition_type","matchday","match_date","home_team","away_team","stadium","city","home_score","away_score","status","is_friendly","source","external_id"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-15T20:00:00+00:00","Girona","Vallecano","","","1","3","finished","false","datahub-football-data","laliga-2025-2026-2025-08-15-girona-vallecano"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-15T20:00:00+00:00","Villarreal","Oviedo","","","2","0","finished","false","datahub-football-data","laliga-2025-2026-2025-08-15-villarreal-oviedo"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-16T20:00:00+00:00","Mallorca","Barcelona","","","0","3","finished","false","datahub-football-data","laliga-2025-2026-2025-08-16-mallorca-barcelona"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-16T20:00:00+00:00","Alaves","Levante","","","2","1","finished","false","datahub-football-data","laliga-2025-2026-2025-08-16-alaves-levante"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-16T20:00:00+00:00","Valencia","Sociedad","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-08-16-valencia-sociedad"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-17T20:00:00+00:00","Celta","Getafe","","","0","2","finished","false","datahub-football-data","laliga-2025-2026-2025-08-17-celta-getafe"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-17T20:00:00+00:00","Ath Bilbao","Sevilla","","","3","2","finished","false","datahub-football-data","laliga-2025-2026-2025-08-17-ath-bilbao-sevilla"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-17T20:00:00+00:00","Espanol","Ath Madrid","","","2","1","finished","false","datahub-football-data","laliga-2025-2026-2025-08-17-espanol-ath-madrid"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-18T20:00:00+00:00","Elche","Betis","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-08-18-elche-betis"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-19T20:00:00+00:00","Real Madrid","Osasuna","","","1","0","finished","false","datahub-football-data","laliga-2025-2026-2025-08-19-real-madrid-osasuna"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-22T20:00:00+00:00","Betis","Alaves","","","1","0","finished","false","datahub-football-data","laliga-2025-2026-2025-08-22-betis-alaves"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-23T20:00:00+00:00","Mallorca","Celta","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-08-23-mallorca-celta"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-23T20:00:00+00:00","Ath Madrid","Elche","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-08-23-ath-madrid-elche"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-23T20:00:00+00:00","Levante","Barcelona","","","2","3","finished","false","datahub-football-data","laliga-2025-2026-2025-08-23-levante-barcelona"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-24T20:00:00+00:00","Osasuna","Valencia","","","1","0","finished","false","datahub-football-data","laliga-2025-2026-2025-08-24-osasuna-valencia"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-24T20:00:00+00:00","Sociedad","Espanol","","","2","2","finished","false","datahub-football-data","laliga-2025-2026-2025-08-24-sociedad-espanol"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-24T20:00:00+00:00","Villarreal","Girona","","","5","0","finished","false","datahub-football-data","laliga-2025-2026-2025-08-24-villarreal-girona"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-24T20:00:00+00:00","Oviedo","Real Madrid","","","0","3","finished","false","datahub-football-data","laliga-2025-2026-2025-08-24-oviedo-real-madrid"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-25T20:00:00+00:00","Ath Bilbao","Vallecano","","","1","0","finished","false","datahub-football-data","laliga-2025-2026-2025-08-25-ath-bilbao-vallecano"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-25T20:00:00+00:00","Sevilla","Getafe","","","1","2","finished","false","datahub-football-data","laliga-2025-2026-2025-08-25-sevilla-getafe"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-27T20:00:00+00:00","Celta","Betis","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-08-27-celta-betis"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-29T20:00:00+00:00","Elche","Levante","","","2","0","finished","false","datahub-football-data","laliga-2025-2026-2025-08-29-elche-levante"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-29T20:00:00+00:00","Valencia","Getafe","","","3","0","finished","false","datahub-football-data","laliga-2025-2026-2025-08-29-valencia-getafe"
"LaLiga","2025/2026","Spain","domestic_league","","2025-08-30T20:00:00+00:00","Alaves","Ath Madrid","","","1","1","finished","false","datahub-football-data","laliga-2025-2026-2025-08-30-alaves-ath-madrid"
