sofascore_id,competition,country
17,Premier League,England
8,LaLiga,Spain
23,Serie A,Italy
35,Bundesliga,Germany
34,Ligue 1,France
7,UEFA Champions League,Europe
679,UEFA Europa League,Europe
242,MLS,USA
,Championship,England
,League One,England
,League Two,England
,Scottish Premiership,Scotland
,2. Bundesliga,Germany
,Serie B,Italy
,Segunda Division,Spain
,Ligue 2,France
,Eredivisie,Netherlands
,Eerste Divisie,Netherlands
,Pro League,Belgium
,Primeira Liga,Portugal
,Liga Portugal 2,Portugal
,Super Lig,Turkey
,1. Lig,Turkey
,Super League Greece,Greece
,Liga MX,Mexico
,Primera Division,Argentina
,Serie A,Brazil
,Serie B,Brazil
,Eliteserien,Norway
,Allsvenskan,Sweden
,Superettan,Sweden
,Veikkausliiga,Finland
,J1 League,Japan
,J2 League,Japan
,K League 1,South Korea
,A-League,Australia
,Super League,Switzerland
,Bundesliga,Austria
925,Liga Nacional,Honduras
358,South African Premier Division,South Africa
